kode_kbli,uraian
22123,Industri Karet Remah (Crumb Rubber) Konstruksi Ringan
22129,Industri Karet Setengah Jadi Lainnya
25113,Industri Produk Logam Struktural Baja untuk Konstruksi
22191,Industri Barang dari Karet untuk Keperluan Rumah Tangga
22192,Industri Barang dari Karet untuk Keperluan Industri
25119,Industri Produk Logam Struktural Lainnya
25120,"Industri Tangki, Tandon Air, dan Wadah Sejenisnya dari"
22193,Industri Barang dari Karet untuk Keperluan Infrastruktur
22194,Industri Barang dari Karet untuk Kesehatan
25130,Industri Generator Uap Bukan Ketel Pemanas
22199,Industri Barang Lainnya dari Karet YTDL
25200,Industri Senjata dan Amunisi
22201,Industri Barang dari Plastik untuk Bangunan
25910,"Penempaan, Pengepresan, Pencetakan, dan Pembentukan"
22202,Industri Barang dari Plastik dan Bioplastik untuk
25920,Pengerjaan dan Pelapisan Logam
22203,Industri Pipa Plastik dan Perlengkapannya
25931,Industri Perkakas Tangan
22204,Industri Plastik Lembaran
25932,Industri Alat Potong
25933,Industri Alat Makan dari Logam
28152,"Industri Oven, Perapian dan Tungku Pembakar Sejenis"
25934,Industri Peralatan Umum yang Menggunakan Arus Listrik
25940,"Industri Ember, Kaleng, Drum dan Wadah Sejenisnya dari"
28160,Industri Alat Pengangkat dan Pemindah
28171,Industri Mesin Kantor dan Akuntansi Manual
25951,Industri Barang dari Kawat Logam Bukan Kabel
28172,Industri Mesin Kantor dan Akuntansi Elektrik
25952,"Industri Paku, Mur, dan Baut Logam"
28173,Industri Mesin Kantor dan Akuntansi Elektronik
25991,"Industri Brankas, Filling Kantor, dan Sejenisnya"
28179,Industri Peralatan Kantor
25992,Industri Peralatan Dapur dan Peralatan Meja dari Logam
28180,Industri Perkakas Tangan yang Digerakkan Tenaga
25993,Industri Produk Rumah Tangga dari Logam Bukan
28191,"Industri Mesin untuk Pembungkus, Pembotolan, dan"
25994,Industri Profil Logam
28192,Industri Mesin Timbangan
25995,Industri Lampu dari Logam
28193,Industri Mesin Pendingin
25999,Industri Produk Logam Lainnya YTDL
28199,Industri Mesin untuk Keperluan Umum Lainnya YTDL
26110,"Industri Sel Surya, Panel Surya, dan Inverter Fotovoltaik"
28210,Industri Mesin Pertanian dan Kehutanan
26191,Industri Tabung Elektron dan Konektor Elektronik
28220,Industri Mesin dan Perkakas Mesin Untuk Pengerjaan
26199,Industri Komponen dan Papan Elektronik Lainnya YTDL Logam dan Bahan Lainnya
26210,Industri Komputer dan Perakitan Komputer
28230,Industri Mesin Metalurgi
26220,Industri Perlengkapan Komputer
28240,"Industri Mesin Penambangan, Penggalian dan Konstruksi"
